序號	學號		
1	41023243	2001:288:6004:17:2025:cadb::	1
2	41123101		2
3	41123102		3
4	41123138		4
5	41123140		5
6	41123215		6
7	41123235		7
8	41123244		8
9	41123250		9
10	41136131		10
11	41171161		11
12	41323201		12
13	41323202		13
14	41323203		14
15	41323204		15
16	41323205		16
17	41323207		17
18	41323208		18
19	41323209		19
20	41323210		20
21	41323211		21
22	41323212		22
23	41323213		23
24	41323214		24
25	41323215		25
26	41323217		26
27	41323218		27
28	41323219		28
29	41323220		29
30	41323221		30
31	41323222		31
32	41323223		32
33	41323224		33
34	41323225		34
35	41323226		35
36	41323227		36
37	41323228		37
38	41323229		38
39	41323230		39
40	41323231		40
41	41323232		41
42	41323233		42
43	41323234		43
44	41323235		44
45	41323236		45
46	41323237		46
47	41323238		47
48	41323240		48
49	41323241		49
50	41323242		50
51	41323243		51
52	41323244		52
53	41323245		53
54	41323247		54
55	41323248		55
56	41323249		56
57	41323251		57
58	41323252		58
59	41323253		59
60	41323254		60
61	41336114		61
